,site_full,site_type,published,url,author,title,uuid,text
0,www.newsdump.com,news,2015-10-13T21:25:00.000+03:00,http://www.newsdump.com/article/nyc-jail-watchdogs-skeptical-of-inmate-uniforms-plan,,NYC jail watchdogs skeptical of inmate uniforms plan,4fffc4b276d0d466d99764fb86cea4f0e88410c9,"Published By: Finger Lake Times - Today 
NEW YORK (AP) — Jail watchdogs have expressed skepticism over a plan to mandate all New York City inmates wear uniforms...."
1,www.newsdump.com,news,2015-10-13T21:12:00.000+03:00,http://www.newsdump.com/article/alert-property-owner-helps-crack-breakin-case,,Alert property owner helps crack break-in case,3eccd14900f3a4b1b88f687b8ebd7999a784026a,"Published By: Charlotte Observer: Crime - Today 
Man confronted people who didn’t belong at houseHe copied down their license plate numberMount Holly woman arrested and charged … Click ..."
2,www.newsdump.com,news,2015-10-13T17:06:00.000+03:00,http://www.newsdump.com/article/gawker-inquiry-finds-malaysia-airlines-flight-mh17-was-shot-down-by-a-russian-missile-jalopnik-i-h,,Gawker Inquiry Finds Malaysia Airlines Flight MH17 Was Shot Down by a Russian Missile | Jalopnik I H,97b2b29ddb233f50ea4138f964a58e3d5ee0bd29,"Gawker Inquiry Finds Malaysia Airlines Flight MH17 Was Shot Down by a Russian Missile | Jalopnik I H 
Published By: Gizmodo.com - Today 
Gawker Inquiry Finds Malaysia Airlines Flight MH17 Was Shot Down by a Russian Missile | Jalopnik I Hit A Deer With My Car And Now I Want To ..."
3,www.newsdump.com,news,2015-10-13T21:24:00.000+03:00,http://www.newsdump.com/article/englands-failure-at-the-rugby-world-cup-is-no-joke,,England's Failure at the Rugby World Cup is No Joke,5c78548775e8a2de7c6983930111d7185fee33c1,"Published By: Huffington Post Sports - Today 
England's loss to Australia on Saturday October 3rd in Rugby's World Cup was a huge disappointment for the home team, as Australia's new coa..."
4,www.wxow.com,news,2015-10-14T00:11:00.000+03:00,http://www.wxow.com/story/30251685/clinton-seeks-to-move-past-email-woes-in-democratic-debate,,Clinton seeks to move past email woes in Democratic debate,e5577700761826fa6bb522b63f3d5aef7012aef9,"Shows on WXOW Clinton seeks to move past email woes in Democratic debate (AP Photo/John Locher). A camera operator waits in the debate hall before a CNN Democratic presidential debate, Tuesday, Oct. 13, 2015, in Las Vegas. Democratic presidential candidates, Hillary Rodham Clinton, Jim Webb, Bernie Sanders, Lincoln Chafee, ... (AP Photo/Charlie Neibergall, File). FILE - In this Sept. 22, 2015 file photo, Democratic presidential candidate Hillary Rodham Clinton speaks in Des Moines, Iowa. Clinton says she always expected tough competition in the Democratic presidential primar... (AP Photo/Michael Dwyer). In this photo taken Oct. 3, 2015, Democratic presidential candidate, Sen. Bernie Sanders, I-Vt, speaks during a campaign rally in Springfield, Mass. Hillary Rodham Clinton says she always expected tough competition in the Dem... (AP Photo/John Locher). Michelle Poley walks on stage before a CNN Democratic presidential debate, Tuesday, Oct. 13, 2015, in Las Vegas. Democratic presidential candidates, Hillary Rodham Clinton, Jim Webb, Bernie Sanders, Lincoln Chafee, and Martin O'... Planned Parenthood changes fetal-tissue reimbursement policy Responding to a furor over undercover videos, Planned Parenthood says it will maintain programs at some of its clinics that make fetal tissue available for research, but will no longer accept any sort of payment to... More >> Responding to a furor over undercover videos, Planned Parenthood says it will maintain programs at some of its clinics that make fetal tissue available for research, but will no longer accept any reimbursement to cover the... More >> California's sweeping new social policies could set trend California's legislative season is ending with the state adopting some of the country's most aggressive social policies. Lawmakers hope that sets the bar for other states to do the same. More >> California ends its legislative season having enacted some of the country's most aggressive social policies: Laws requiring student vaccinations, granting terminally ill people the right to take life-ending... More >> 2 firefighters die after 2 rescued from Kansas City blaze Two Kansas City firefighters were killed and two were injured when a burning building collapsed Monday night, a fire official said. More >> Two firefighters involved in rescuing two residents from a burning Kansas City building died after a wall collapsed on them, authorities said. More >> State wants to prosecute Charleston church shooting first South Carolina wants to go to trial before the federal government in the Charleston church shootings as it seeks the death penalty for Dylann Roof. More >> South Carolina wants to go to trial before the federal government in the Charleston church shootings as it seeks the death penalty for Dylann Roof. More >> California to big-league ballplayers: Stop dipping Four California schools will be forced to change mascots after Gov. Jerry Brown signed legislation barring public schools from using the Redskins name for sports teams. More >> California lawmakers have taken the first step toward accomplishing something Major League Baseball could never do on its own: Stop players from using smokeless tobacco. More >> AP Exclusive: Clinton email server setup risked intrusions The private email server Hillary Rodham Clinton used while secretary of state was connected to the Internet in ways that made it more vulnerable to hackers. More >> The private email server running in Hillary Rodham Clinton's home basement when she was secretary of state was connected to the Internet in ways that made it more vulnerable to hackers while using software that could... More >> Ex-Chicago Public Schools CEO pleads guilty, apologizes The former head of Chicago Public Schools pleaded guilty Tuesday to charges in an alleged scheme to steer $23 million in no-bid contracts to education firms for $2.3 million in bribes and kickbacks. More >> An hour after pleading guilty to her role in a scheme to steer $23 million in no-bid contracts to education firms for $2.3 million in bribes and kickbacks, the former head of Chicago Public Schools apologized Tuesday to... More >> A new report says Playboy will no longer publish photos of nude women as part of a redesign effort. More >> Playboy is about to find out how many people really do read it for the articles. More >> Court reinstates lawsuit over NYPD surveillance of Muslims A federal appeals court on Tuesday reinstated a lawsuit challenging the New York Police Department's surveillance of Muslim groups in New Jersey after the Sept. 11 terrorist attacks, saying any resulting harm... More >> A federal appeals court on Tuesday reinstated a lawsuit challenging the New York Police Department's surveillance of Muslim groups in New Jersey after the Sept. 11 terrorist attacks, saying any resulting harm came from... More >> Freddie Gray hearing: police officers statements at issue A judge in Baltimore is holding a hearing to determine the admissibility of statements made to investigators by police officers charged in connection with Freddie Gray's death. More >> A judge is holding a hearing on the admissibility of statements made to investigators by Baltimore police officers charged in connection with Freddie Gray's death. More >> AP Exclusive: Clinton homemade email server was connected in ways that raised risks of hacking More >> AP Exclusive: Clinton homemade email server was connected in ways that raised risks of hacking More >> Zimbabwe official says US dentist is not wanted for killing Cecil the lion More >> Zimbabwe official says US dentist is not wanted for killing Cecil the lion More >> Princeton economist Angus Deaton wins Nobel for work on poverty and inequality More >> Princeton economist Angus Deaton wins Nobel for work on poverty and inequality More >> Princeton's Angus Deaton wins Nobel economics prize for work on consumption, poverty More >> Princeton's Angus Deaton wins Nobel economics prize for work on consumption, poverty More >> US airman who thwarted French train attack is stabbed in brawl outside a hometown bar More >> US airman who thwarted French train attack is stabbed in brawl outside a hometown bar More >> US airman who thwarted French train attack is stabbed in brawl outside a hometown bar More >> US airman who thwarted French train attack is stabbed in brawl outside a hometown bar More >> Chaos in the House: McCarthy withdraws candidacy for speaker, GOP vote postponed More >> Chaos in the House: McCarthy withdraws candidacy for speaker, GOP vote postponed More >> Snyder supports switching Flint back to Detroit water supply amid health concerns over lead More >> Snyder supports switching Flint back to Detroit water supply amid health concerns over lead More >> VW executive apologizes to angry Congress -- but says emissions scandal is not his fault More >> VW executive apologizes to angry Congress -- but says emissions scandal is not his fault More >> After the flood, a rush to preserve drinking water in South Carolina's capital city More >> After the flood, a rush to preserve drinking water in South Carolina's capital city More >> By JULIE PACE and LISA LERERAssociated Press 
LAS VEGAS (AP) - Hillary Rodham Clinton entered Tuesday night's first Democratic debate a weakened front-runner, anxious to move past the controversy over her email practices and persuade voters she's the best-qualified candidate to lead the party to a third straight term in the White House. 
Clinton, the former secretary of state, faces her biggest challenge from Bernie Sanders, the rumpled independent senator from Vermont who has energized liberals with his call for a ""political revolution."" Much of the focus in the prime-time contest was sure to be on how they engage each other, given that they have gone long stretches in the campaign without even mentioning each other's names. 
Joining them on stage in Las Vegas was a trio of low-polling candidates looking for a breakthrough moment: former Maryland Gov. Martin O'Malley; Jim Webb, a former Navy secretary and U.S. senator from Virginia, and Lincoln Chafee, the Republican-turned independent-turned Democrat from Rhode Island. 
While Clinton maintains financial and organizational advantages over her Democratic rivals, months of Republican criticism of her use of personal email and a private Internet server while in the Obama administration have shadowed her campaign and hurt her standing with voters. The Associated Press reported Tuesday that Clinton's server was connected to the Internet in ways that left it somewhat vulnerable to hackers. 
The candidates and their teams focused elsewhere for the Democrats' first big TV event. 
Maria Cardona, a Democratic strategist who worked for Clinton's failed 2008 White House campaign, said that as long as the email issue didn't dominate the debate, ""this will be a win for her no matter how you look at it."" 
Sanders, too, seemed eager to keep the debate focused on policy, and he was looking to broaden his appeal to more Democratic voters. The self-described democratic socialist, who is drawing massive crowds and challenging Clinton's fundraising prowess, has called for breaking up big Wall Street banks, expanding Social Security and providing free tuition to public colleges and universities. 
In recent days, Sanders has stepped up his efforts to draw a contrast with Clinton, casting her as a late-comer to the liberal positions he's held for decades. 
After Clinton announced her opposition to a sweeping Pacific Rim trade deal, a pact she had previously called the ""gold standard,"" Sanders said he was glad she'd come around to ""a conclusion I reached on day one."" 
Indeed, Clinton has increasingly moved to the left on domestic policy since announcing her campaign this spring, including voicing opposition to the Keystone XL oil pipeline and support for expanded gun control legislation. While she rarely mentions Sanders by name, she's suggested her proposals are more realistic and well-formed than those espoused by the Vermont senator. 
In an interview with NBC's ""Today"" show last week, Clinton went after Sanders' call for free college tuition, a popular initiative among progressives. 
""I'm a little different from those who say 'free college for everybody,'"" Clinton said. ""I am not in favor of making college free for Donald Trump's kids."" 
Not on the scene in Las Vegas but on many minds was Vice President Joe Biden. 
Biden, flirting for weeks with a late entry into the race, had nothing new to say. His office said he would be watching from his residence in Washington. 
Despite the Biden speculation, the Democratic primary has lacked the drama of the Republican contest and the unexpected rise of Donald Trump. Debate host CNN said it expected significantly lower ratings for Tuesday night's debate than for the Republican contest the cable channel hosted in late September, which drew an audience of 23 million. 
White House spokesman Josh Earnest said he expected President Barack Obama to watch at least some of his party's debate. 
""I don't think that he will watch it wire to wire - there is some pretty good playoff baseball on tonight,"" said Earnest, referring to the Major League Baseball playoffs. 
Even with smaller viewership than the GOP debates, Tuesday's event was sure to be largest audience for Democratic candidates since the primary race began. It's one of six debates the Democratic National Committee has sanctioned, a point of contention among some candidates seeking more nationally televised events to generate attention. 
O'Malley, who had expected to be Clinton's chief rival, has led the push for more debates. He's also been sharply critical of what he sees as Clinton's flip-flopping on policy and has said questions about her email use are legitimate. 
Webb has been a chief critic of Clinton's early support of the Iraq war and could push her on her hawkish foreign policy positions. It's unclear what role Chafee might play in the debate, given that his most notable campaign moment thus far has been his call for the U.S. to adopt the metric system. 
___ 
___ 
Follow Julie Pace at http://twitter.com/jpaceDC and Lisa Lerer at http://twitter.com/llerer Copyright 2015 The Associated Press. All rights reserved. This material may not be published, broadcast, rewritten or redistributed. Can't Find Something? 3705 CTH 25, La Crescent, MN 55947 Phone: 507-895-1919 or 800-947-9969 (WXOW)"
5,www.newsdump.com,news,2015-10-13T21:28:00.000+03:00,http://www.newsdump.com/article/taylor-swift-the-weeknd-rack-up-2015-american-music-award-nominations,,"Taylor Swift, the Weeknd rack up 2015 American Music Award nominations",3c869118bd2b545c2555fb2b72d9117209f0fe88,"Taylor Swift is leading the pack for the 2015 American Music AwardsThe singer, who notched six nominations, is followed by Ed Shee..."
6,www.newsdump.com,news,2015-10-13T22:09:00.000+03:00,http://www.newsdump.com/article/starbucks-to-deliver-within-empire-state-building,,Starbucks to deliver within Empire State Building,f6d15bf6390c8870844dd68a23185ff35d97db84,"Published By: Denver Post - Today 
NEW YORK — Starbucks will start offering delivery within the Empire State Building on Tuesday, giving office workers in the skyscraper the..."
7,www.newsdump.com,news,2015-10-13T16:35:00.000+03:00,http://www.newsdump.com/article/singapore-airlines-plans-return-to-us-with-new-ultra-longrange-a350,,Singapore Airlines plans return to U.S. with new 'ultra long-range' A350,305c65a141316f0023cb4100b34aa750855003e3,"Published By: USATODAY.com: World - Today 
Airline plans to fly from Singapore to both NYC and L.A., but says more routes are possible. ..."
8,www.newsdump.com,news,2015-10-13T00:36:00.000+03:00,http://www.newsdump.com/article/time-to-talk-about-guns,,Time to Talk About Guns,51f494b9fec154f8cbbb1ac399d9d0c136c95553,"Published By: Huffington Post Politics - Today 
In 2012, 986 mass shootings ago, I wrote these words: """"In the wake of another horrific national tragedy, it's easy to talk about guns. But ..."
9,www.newsdump.com,news,2015-10-13T00:36:00.000+03:00,http://www.newsdump.com/article/more-and-more-american-cities-are-ditching-columbus-day-for-indigenous-peoples-day,,More And More American Cities Are Ditching Columbus Day For Indigenous Peoples Day,c98b68e8f5b55a352a8a3e3b3f1f15ddde80873e,[youtube=http://www.youtube.com/watch?v=f77LqUAvD0s&w=650&h=396] Share This Video
